exam_id,cutoff,commodity,query,relevant_count,total_count,note,fetched_at
B,2023-10-19,lime,lime AND (mining OR supply OR production OR export OR smelter OR refinery),1880,6722256,ok,2026-08-07T00:33:44
B,2023-10-19,lithium,lithium AND (mining OR supply OR production OR export OR smelter OR refinery),11399,6722256,ok,2026-08-07T00:34:26
B,2023-10-19,magnesium compounds,"""magnesium compounds"" AND (mining OR supply OR production OR export OR smelter OR refinery)",7,6722256,ok,2026-08-07T00:34:50
B,2023-10-19,magnesium metal,magnesium AND (mining OR supply OR production OR export OR smelter OR refinery),1295,6722256,ok,2026-08-07T00:35:20
B,2023-10-19,manganese,manganese AND (mining OR supply OR production OR export OR smelter OR refinery),1334,6722256,ok,2026-08-07T00:35:46
B,2023-10-19,mercury,mercury AND (mining OR supply OR production OR export OR smelter OR refinery),3238,6722256,ok,2026-08-07T00:36:18
B,2023-10-19,mica (natural),mica AND (mining OR supply OR production OR export OR smelter OR refinery),281,6722256,ok,2026-08-07T00:36:52
B,2023-10-19,molybdenum,molybdenum AND (mining OR supply OR production OR export OR smelter OR refinery),607,6722256,ok,2026-08-07T00:37:19
B,2023-10-19,nickel,nickel AND (mining OR supply OR production OR export OR smelter OR refinery),6736,6722256,ok,2026-08-07T00:37:50
B,2023-10-19,niobium,niobium AND (mining OR supply OR production OR export OR smelter OR refinery),217,6722256,ok,2026-08-07T00:38:22
B,2023-10-19,nitrogen (fixed)-ammonia,ammonia AND (mining OR supply OR production OR export OR smelter OR refinery),2197,6722256,ok,2026-08-07T00:38:51
B,2023-10-19,peat,peat AND (mining OR supply OR production OR export OR smelter OR refinery),575,6722256,ok,2026-08-07T00:39:22
B,2023-10-19,perlite,perlite AND (mining OR supply OR production OR export OR smelter OR refinery),82,6722256,ok,2026-08-07T00:39:44
B,2023-10-19,phosphate rock,"""phosphate rock"" AND (mining OR supply OR production OR export OR smelter OR refinery)",67,6722256,ok,2026-08-07T00:40:30
B,2023-10-19,platinum-group metals,(platinum OR palladium) AND (mining OR supply OR production OR export OR smelter OR refinery),4630,6722256,ok,2026-08-07T00:40:48
B,2023-10-19,potash,potash AND (mining OR supply OR production OR export OR smelter OR refinery),749,6722256,ok,2026-08-07T00:41:21
B,2023-10-19,pumice and pumicite,pumice AND (mining OR supply OR production OR export OR smelter OR refinery),359,6722256,ok,2026-08-07T00:41:45
B,2023-10-19,quartz crystal (industrial),"""quartz crystal"" AND (mining OR supply OR production OR export OR smelter OR refinery)",21,6722256,ok,2026-08-07T00:42:31
B,2023-10-19,rare earths,"""rare earth"" AND (mining OR supply OR production OR export OR smelter OR refinery)",1993,6722256,ok,2026-08-07T00:43:00
B,2023-10-19,rhenium,rhenium AND (mining OR supply OR production OR export OR smelter OR refinery),67,6722256,ok,2026-08-07T00:43:15
B,2023-10-19,rubidium,rubidium AND (mining OR supply OR production OR export OR smelter OR refinery),69,6722256,ok,2026-08-07T00:43:52
B,2023-10-19,salt,salt AND (mining OR supply OR production OR export OR smelter OR refinery),10391,6722256,ok,2026-08-07T00:44:26
B,2023-10-19,sand and gravel,"""sand and gravel"" AND (mining OR supply OR production OR export OR smelter OR refinery)",154,6722256,ok,2026-08-07T00:44:57
B,2023-10-19,scandium,scandium AND (mining OR supply OR production OR export OR smelter OR refinery),122,6722256,ok,2026-08-07T00:45:21
B,2023-10-19,selenium,selenium AND (mining OR supply OR production OR export OR smelter OR refinery),250,6722256,ok,2026-08-07T00:45:56
B,2023-10-19,silicon,silicon AND (mining OR supply OR production OR export OR smelter OR refinery),9898,6722256,ok,2026-08-07T00:46:18
B,2023-10-19,silver,silver AND (mining OR supply OR production OR export OR smelter OR refinery),15821,6722256,ok,2026-08-07T00:46:50
B,2023-10-19,soda ash,"""soda ash"" AND (mining OR supply OR production OR export OR smelter OR refinery)",111,6722256,ok,2026-08-07T00:47:22
B,2023-10-19,stone,stone AND (mining OR supply OR production OR export OR smelter OR refinery),12493,6722256,ok,2026-08-07T00:47:49
B,2023-10-19,strontium,strontium AND (mining OR supply OR production OR export OR smelter OR refinery),86,6722256,ok,2026-08-07T00:48:21
B,2023-10-19,sulfur,sulfur AND (mining OR supply OR production OR export OR smelter OR refinery),1459,6722256,ok,2026-08-07T00:48:48
B,2023-10-19,talc and pyrophyllite,talc AND (mining OR supply OR production OR export OR smelter OR refinery),184,6722256,ok,2026-08-07T00:49:21
B,2023-10-19,tantalum,tantalum AND (mining OR supply OR production OR export OR smelter OR refinery),315,6722256,ok,2026-08-07T00:49:46
B,2023-10-19,tellurium,tellurium AND (mining OR supply OR production OR export OR smelter OR refinery),65,6722256,ok,2026-08-07T00:50:16
B,2023-10-19,thallium,thallium AND (mining OR supply OR production OR export OR smelter OR refinery),21,6722256,ok,2026-08-07T00:50:45
B,2023-10-19,thorium,thorium AND (mining OR supply OR production OR export OR smelter OR refinery),102,6722256,ok,2026-08-07T00:51:20
B,2023-10-19,tin,tin AND (mining OR supply OR production OR export OR smelter OR refinery),1924,6722256,ok,2026-08-07T00:51:49
B,2023-10-19,titanium,titanium AND (mining OR supply OR production OR export OR smelter OR refinery),1986,6722256,ok,2026-08-07T00:52:22
B,2023-10-19,tungsten,tungsten AND (mining OR supply OR production OR export OR smelter OR refinery),394,6722256,ok,2026-08-07T00:52:49
B,2023-10-19,vanadium,vanadium AND (mining OR supply OR production OR export OR smelter OR refinery),352,6722256,ok,2026-08-07T00:53:25
B,2023-10-19,vermiculite,vermiculite AND (mining OR supply OR production OR export OR smelter OR refinery),41,6722256,ok,2026-08-07T00:53:47
B,2023-10-19,wollastonite,wollastonite AND (mining OR supply OR production OR export OR smelter OR refinery),3,6722256,ok,2026-08-07T00:54:12
B,2023-10-19,yttrium,yttrium AND (mining OR supply OR production OR export OR smelter OR refinery),74,6722256,ok,2026-08-07T00:54:53
B,2023-10-19,zeolites (natural),zeolites AND (mining OR supply OR production OR export OR smelter OR refinery),61,6722256,ok,2026-08-07T00:55:16
B,2023-10-19,zinc,zinc AND (mining OR supply OR production OR export OR smelter OR refinery),3131,6722256,ok,2026-08-07T00:55:56
B,2023-10-19,zirconium,zirconium AND (mining OR supply OR production OR export OR smelter OR refinery),147,6722256,ok,2026-08-07T00:56:17
C,2024-08-14,abrasives (manufactured),abrasives AND (mining OR supply OR production OR export OR smelter OR refinery),168,6333804,ok,2026-08-07T00:56:54
C,2024-08-14,aluminum,aluminum AND (mining OR supply OR production OR export OR smelter OR refinery),5773,6333804,ok,2026-08-07T00:57:28
C,2024-08-14,antimony,antimony AND (mining OR supply OR production OR export OR smelter OR refinery),201,6333804,ok,2026-08-07T00:57:50
C,2024-08-14,arsenic,arsenic AND (mining OR supply OR production OR export OR smelter OR refinery),684,6333804,ok,2026-08-07T00:58:25
C,2024-08-14,asbestos,asbestos AND (mining OR supply OR production OR export OR smelter OR refinery),619,6333804,ok,2026-08-07T00:58:48
C,2024-08-14,barite,barite AND (mining OR supply OR production OR export OR smelter OR refinery),54,6333804,ok,2026-08-07T00:59:20
C,2024-08-14,bauxite and alumina,bauxite AND (mining OR supply OR production OR export OR smelter OR refinery),339,6333804,ok,2026-08-07T00:59:49
C,2024-08-14,beryllium,beryllium AND (mining OR supply OR production OR export OR smelter OR refinery),90,6333804,ok,2026-08-07T01:00:17
C,2024-08-14,bismuth,bismuth AND (mining OR supply OR production OR export OR smelter OR refinery),86,6333804,ok,2026-08-07T01:00:44
C,2024-08-14,boron,boron AND (mining OR supply OR production OR export OR smelter OR refinery),414,6333804,ok,2026-08-07T01:01:27
C,2024-08-14,bromine,bromine AND (mining OR supply OR production OR export OR smelter OR refinery),248,6333804,ok,2026-08-07T01:01:46
C,2024-08-14,cadmium,cadmium AND (mining OR supply OR production OR export OR smelter OR refinery),506,6333804,ok,2026-08-07T01:02:22
C,2024-08-14,cement,cement AND (mining OR supply OR production OR export OR smelter OR refinery),5144,6333804,ok,2026-08-07T01:02:50
C,2024-08-14,cesium,cesium AND (mining OR supply OR production OR export OR smelter OR refinery),240,6333804,ok,2026-08-07T01:03:18
C,2024-08-14,chromium,chromium AND (mining OR supply OR production OR export OR smelter OR refinery),453,6333804,ok,2026-08-07T01:03:50
C,2024-08-14,clays,clays AND (mining OR supply OR production OR export OR smelter OR refinery),146,6333804,ok,2026-08-07T01:04:18
C,2024-08-14,cobalt,cobalt AND (mining OR supply OR production OR export OR smelter OR refinery),3408,6333804,ok,2026-08-07T01:04:55
C,2024-08-14,copper,copper AND (mining OR supply OR production OR export OR smelter OR refinery),10636,6333804,ok,2026-08-07T01:05:24
C,2024-08-14,diamond (industrial),"""industrial diamond"" AND (mining OR supply OR production OR export OR smelter OR refinery)",3,6333804,ok,2026-08-07T01:05:51
C,2024-08-14,diatomite,diatomite AND (mining OR supply OR production OR export OR smelter OR refinery),42,6333804,ok,2026-08-07T01:06:14
C,2024-08-14,feldspar,feldspar AND (mining OR supply OR production OR export OR smelter OR refinery),121,6333804,ok,2026-08-07T01:06:46
C,2024-08-14,fluorspar,fluorspar AND (mining OR supply OR production OR export OR smelter OR refinery),24,6333804,ok,2026-08-07T01:07:16
C,2024-08-14,gallium,gallium AND (mining OR supply OR production OR export OR smelter OR refinery),596,6333804,ok,2026-08-07T01:07:52
C,2024-08-14,garnet (industrial),garnet AND (mining OR supply OR production OR export OR smelter OR refinery),181,6333804,ok,2026-08-07T01:08:19
C,2024-08-14,gemstones,gemstones AND (mining OR supply OR production OR export OR smelter OR refinery),430,6333804,ok,2026-08-07T01:08:53
C,2024-08-14,germanium,germanium AND (mining OR supply OR production OR export OR smelter OR refinery),310,6333804,ok,2026-08-07T01:09:24
C,2024-08-14,gold,gold AND (mining OR supply OR production OR export OR smelter OR refinery),31059,6333804,ok,2026-08-07T01:09:53
C,2024-08-14,graphite (natural),graphite AND (mining OR supply OR production OR export OR smelter OR refinery),1637,6333804,ok,2026-08-07T01:10:25
C,2024-08-14,gypsum,gypsum AND (mining OR supply OR production OR export OR smelter OR refinery),360,6333804,ok,2026-08-07T01:10:44
C,2024-08-14,hafnium,hafnium AND (mining OR supply OR production OR export OR smelter OR refinery),13,6333804,ok,2026-08-07T01:11:17
C,2024-08-14,helium,helium AND (mining OR supply OR production OR export OR smelter OR refinery),965,6333804,ok,2026-08-07T01:11:51
C,2024-08-14,indium,indium AND (mining OR supply OR production OR export OR smelter OR refinery),168,6333804,ok,2026-08-07T01:12:19
C,2024-08-14,iodine,iodine AND (mining OR supply OR production OR export OR smelter OR refinery),358,6333804,ok,2026-08-07T01:12:48
C,2024-08-14,iron and steel,"""steel industry"" AND (mining OR supply OR production OR export OR smelter OR refinery)",850,6333804,ok,2026-08-07T01:13:30
C,2024-08-14,iron and steel scrap,"""steel scrap"" AND (mining OR supply OR production OR export OR smelter OR refinery)",59,6333804,ok,2026-08-07T01:13:50
