"H2a final rankings, completed pool + corrected diamond (6 exams x 99 rows, per-row source flags).",,,,,,,,
exam_id,commodity,news_context,vis_lognorm,share_element,latent_lev_element,rank_lev_element,status,share_source_flag
E1,garnet (industrial),190,0.4592,17,0.0919,48,,filled_2026-08-15
E1,gemstones,494,0.5425,,,,no_share_data,v1
E1,germanium,567,0.5545,65.4,,,already_controlled,v1
E1,gold,32107,0.9073,10.6,0.0098,71,,v1
E1,graphite (natural),1535,0.6415,65.4,,,already_controlled,v1
E1,gypsum,339,0.5097,15,0.0736,50,,filled_2026-08-15
E1,hafnium,13,0.2307,3,0.0231,64,,v1
E1,helium,854,0.5903,0.6,0.0025,76,,v1
E1,holmium,15,0.2424,99,0.75,1,,REE_element_file
E1,indium,206,0.4663,58.9,,,already_controlled,v1
E1,iodine,255,0.4848,1,0.0052,73,,filled_2026-08-15
E1,iron and steel,1180,0.6185,54,0.206,31,,filled_2026-08-15
E1,iron and steel scrap,61,0.3609,,,,no_share_data,v1
E1,iron and steel slag,31,0.303,54,0.3764,21,,filled_2026-08-15
E1,iron ore,1870,0.6588,14.6,0.0498,58,,v1
E1,iron oxide pigments,140,0.4327,,,,no_share_data,v1
